Transaction_ID,Date,Product_ID,Region_ID,Customer_ID,Quantity_Sold,Sales_Channel,Selling_Price,Category,Sales_Amount,Promotion_ID,Promotion_Type,Promotion_Budget
56,07/03/2023,7,3,183,4,Departmental Store,11,Snacks,44,,No Promotion,0
57,13/12/2023,13,4,2,13,Super Shop,44.83,Beverages,582.79,1,Bundle Offer,4878.34
58,22/01/2023,15,4,194,6,Departmental Store,20.34,Snacks,122.04,,No Promotion,0
59,25/08/2024,11,1,166,4,Online,18.25,Snacks,73,,No Promotion,0
60,21/07/2024,4,4,247,3,Departmental Store,41.23,Beverages,123.69,,No Promotion,0
61,24/08/2023,13,2,499,11,Departmental Store,44.83,Beverages,493.13,1,Bundle Offer,4878.34
62,25/08/2024,7,3,413,6,Departmental Store,11,Snacks,66,,No Promotion,0
63,14/08/2023,19,3,244,1,Super Shop,38.17,Personal Care,38.17,3,Discount,4758
64,08/01/2023,22,3,110,6,Online,16.64,Beverages,99.84,,No Promotion,0
65,14/03/2023,2,1,380,4,Departmental Store,51.58,Snacks,206.32,,No Promotion,0
66,25/12/2024,10,4,323,3,Departmental Store,51.38,Snacks,154.14,,No Promotion,0
67,08/10/2024,13,2,487,2,Departmental Store,44.83,Beverages,89.66,,No Promotion,0
68,02/03/2023,25,1,71,1,Departmental Store,29.11,Dairy,29.11,,No Promotion,0
69,23/08/2023,21,3,164,11,Online,42.81,Snacks,470.91,10,Buy One Get One Free,2301.32
70,11/03/2023,6,2,285,5,Online,21.53,Beverages,107.65,,No Promotion,0
71,02/02/2023,12,3,375,3,Super Shop,53.91,Snacks,161.73,,No Promotion,0
72,05/12/2023,12,3,421,3,Online,53.91,Snacks,161.73,10,Buy One Get One Free,2301.32
73,14/03/2023,20,1,113,5,Online,22.73,Dairy,113.65,,No Promotion,0
74,10/06/2024,11,3,228,12,Departmental Store,18.25,Snacks,219,9,Discount,1180.91
75,01/09/2023,23,2,471,21,Super Shop,26.43,Personal Care,555.03,3,Discount,4758
76,13/10/2023,25,3,301,6,Super Shop,29.11,Dairy,174.66,19,Discount,1298.2
77,16/11/2024,7,4,16,5,Departmental Store,11,Snacks,55,,No Promotion,0
78,12/05/2024,1,3,496,8,Super Shop,33.84,Snacks,270.72,9,Discount,1180.91
79,08/08/2023,1,1,31,6,Online,33.84,Snacks,203.04,10,Buy One Get One Free,2301.32
80,06/07/2024,25,2,162,1,Super Shop,29.11,Dairy,29.11,,No Promotion,0
81,16/05/2023,25,1,306,4,Departmental Store,29.11,Dairy,116.44,5,Bundle Offer,3391.6
82,07/08/2024,20,4,193,2,Super Shop,22.73,Dairy,45.46,,No Promotion,0
83,13/08/2024,13,3,210,6,Super Shop,44.83,Beverages,268.98,,No Promotion,0
84,29/04/2024,9,1,378,18,Super Shop,46.33,Personal Care,833.94,8,Buy One Get One Free,1783.93
85,06/09/2023,3,1,446,4,Departmental Store,46.14,Dairy,184.56,19,Discount,1298.2
86,29/04/2024,7,1,232,4,Online,11,Snacks,44,9,Discount,1180.91
87,21/02/2024,6,1,427,1,Super Shop,21.53,Beverages,21.53,,No Promotion,0
88,14/07/2023,8,4,184,17,Online,45.89,Snacks,780.13,10,Buy One Get One Free,2301.32
89,07/04/2023,9,4,15,14,Online,46.33,Personal Care,648.62,3,Discount,4758
90,10/04/2023,5,3,432,1,Online,13.67,Beverages,13.67,,No Promotion,0
91,05/11/2024,1,3,305,1,Super Shop,33.84,Snacks,33.84,,No Promotion,0
92,17/03/2024,19,2,209,1,Online,38.17,Personal Care,38.17,,No Promotion,0
93,29/12/2023,10,4,172,16,Super Shop,51.38,Snacks,822.08,11,Buy One Get One Free,2554.71
94,09/03/2024,12,1,266,13,Super Shop,53.91,Snacks,700.83,9,Discount,1180.91
95,25/02/2024,24,1,20,3,Super Shop,30.14,Dairy,90.42,2,Bundle Offer,4100.53
96,23/04/2024,15,2,70,3,Online,20.34,Snacks,61.02,9,Discount,1180.91
97,25/02/2023,22,1,8,1,Super Shop,16.64,Beverages,16.64,,No Promotion,0
98,20/11/2024,24,2,429,5,Departmental Store,30.14,Dairy,150.7,,No Promotion,0
99,31/10/2024,9,3,34,3,Departmental Store,46.33,Personal Care,138.99,,No Promotion,0
100,23/10/2024,20,4,224,1,Departmental Store,22.73,Dairy,22.73,,No Promotion,0
101,11/04/2023,17,2,179,8,Super Shop,26.62,Personal Care,212.96,3,Discount,4758
102,04/03/2023,17,1,246,2,Departmental Store,26.62,Personal Care,53.24,,No Promotion,0
103,17/02/2024,20,2,490,14,Super Shop,22.73,Dairy,318.22,2,Bundle Offer,4100.53
104,14/12/2023,12,3,260,4,Super Shop,53.91,Snacks,215.64,11,Buy One Get One Free,2554.71
105,22/04/2023,7,1,108,9,Super Shop,11,Snacks,99,15,Bundle Offer,2123.74
106,12/09/2023,2,3,242,1,Online,51.58,Snacks,51.58,10,Buy One Get One Free,2301.32
107,16/07/2023,3,3,423,6,Departmental Store,46.14,Dairy,276.84,5,Bundle Offer,3391.6
108,14/07/2023,17,2,468,2,Super Shop,26.62,Personal Care,53.24,3,Discount,4758
109,03/07/2024,5,3,24,1,Departmental Store,13.67,Beverages,13.67,,No Promotion,0
110,04/04/2024,17,1,216,1,Departmental Store,26.62,Personal Care,26.62,,No Promotion,0
111,24/05/2023,24,3,55,5,Online,30.14,Dairy,150.7,5,Bundle Offer,3391.6
112,08/03/2024,17,3,26,6,Departmental Store,26.62,Personal Care,159.72,,No Promotion,0
113,07/07/2023,17,2,281,14,Super Shop,26.62,Personal Care,372.68,3,Discount,4758
114,13/10/2023,2,3,292,11,Super Shop,51.58,Snacks,567.38,10,Buy One Get One Free,2301.32
115,18/04/2024,2,4,327,14,Departmental Store,51.58,Snacks,722.12,9,Discount,1180.91
116,13/09/2023,22,2,458,14,Departmental Store,16.64,Beverages,232.96,1,Bundle Offer,4878.34
117,19/03/2023,23,2,186,1,Online,26.43,Personal Care,26.43,,No Promotion,0
118,29/03/2024,5,1,495,3,Super Shop,13.67,Beverages,41.01,,No Promotion,0
119,17/07/2024,1,1,12,1,Departmental Store,33.84,Snacks,33.84,,No Promotion,0
120,11/04/2023,1,1,129,18,Departmental Store,33.84,Snacks,609.12,15,Bundle Offer,2123.74
121,21/02/2023,19,1,372,2,Super Shop,38.17,Personal Care,76.34,,No Promotion,0
122,29/10/2024,2,4,434,3,Departmental Store,51.58,Snacks,154.74,,No Promotion,0
123,07/07/2024,21,2,409,19,Online,42.81,Snacks,813.39,9,Discount,1180.91
124,16/01/2023,12,3,208,2,Departmental Store,53.91,Snacks,107.82,,No Promotion,0
125,06/04/2023,6,1,133,3,Departmental Store,21.53,Beverages,64.59,,No Promotion,0
126,31/08/2023,23,1,339,2,Online,26.43,Personal Care,52.86,3,Discount,4758
127,20/06/2023,4,1,196,4,Online,41.23,Beverages,164.92,,No Promotion,0
128,21/02/2024,23,3,262,5,Online,26.43,Personal Care,132.15,4,Bundle Offer,4579.31
129,12/05/2024,11,1,282,1,Super Shop,18.25,Snacks,18.25,9,Discount,1180.91
130,07/05/2024,24,3,369,3,Departmental Store,30.14,Dairy,90.42,,No Promotion,0
131,07/08/2023,17,2,103,4,Departmental Store,26.62,Personal Care,106.48,3,Discount,4758
132,15/02/2024,6,2,120,13,Online,21.53,Beverages,279.89,1,Bundle Offer,4878.34
133,02/03/2023,24,2,183,1,Super Shop,30.14,Dairy,30.14,,No Promotion,0
134,18/06/2023,5,4,423,2,Online,13.67,Beverages,27.34,,No Promotion,0
135,24/01/2024,20,3,9,6,Departmental Store,22.73,Dairy,136.38,2,Bundle Offer,4100.53
136,03/01/2023,2,1,45,5,Super Shop,51.58,Snacks,257.9,,No Promotion,0
137,04/02/2024,6,1,244,4,Super Shop,21.53,Beverages,86.12,1,Bundle Offer,4878.34
138,29/09/2023,22,1,270,5,Departmental Store,16.64,Beverages,83.2,1,Bundle Offer,4878.34
139,10/04/2024,11,1,112,17,Super Shop,18.25,Snacks,310.25,9,Discount,1180.91
140,20/10/2023,16,4,55,7,Super Shop,15.96,Beverages,111.72,1,Bundle Offer,4878.34
141,09/03/2024,16,1,393,4,Online,15.96,Beverages,63.84,,No Promotion,0
142,14/12/2024,1,4,15,1,Super Shop,33.84,Snacks,33.84,,No Promotion,0
143,23/07/2024,9,3,37,2,Online,46.33,Personal Care,92.66,17,Buy One Get One Free,1563.7
144,08/11/2024,6,2,178,3,Super Shop,21.53,Beverages,64.59,,No Promotion,0
145,13/05/2024,16,1,127,2,Online,15.96,Beverages,31.92,,No Promotion,0
146,08/06/2023,3,2,117,4,Online,46.14,Dairy,184.56,5,Bundle Offer,3391.6
147,14/07/2023,20,3,340,16,Super Shop,22.73,Dairy,363.68,5,Bundle Offer,3391.6
148,31/10/2023,4,3,72,7,Online,41.23,Beverages,288.61,1,Bundle Offer,4878.34
149,11/08/2023,19,1,352,13,Departmental Store,38.17,Personal Care,496.21,3,Discount,4758
150,01/03/2023,3,3,111,3,Departmental Store,46.14,Dairy,138.42,,No Promotion,0
151,16/08/2024,19,2,149,13,Super Shop,38.17,Personal Care,496.21,17,Buy One Get One Free,1563.7
152,09/07/2024,20,1,185,1,Super Shop,22.73,Dairy,22.73,,No Promotion,0
153,04/03/2023,7,4,105,3,Super Shop,11,Snacks,33,,No Promotion,0
154,18/11/2023,20,1,147,20,Departmental Store,22.73,Dairy,454.6,2,Bundle Offer,4100.53
155,28/02/2023,9,2,221,2,Super Shop,46.33,Personal Care,92.66,,No Promotion,0
156,21/02/2023,1,1,314,3,Super Shop,33.84,Snacks,101.52,,No Promotion,0
157,21/08/2024,8,1,351,4,Online,45.89,Snacks,183.56,,No Promotion,0
158,03/05/2024,7,2,374,2,Super Shop,11,Snacks,22,9,Discount,1180.91
159,29/05/2024,18,1,6,3,Departmental Store,30.09,Beverages,90.27,,No Promotion,0
160,27/06/2024,8,1,260,8,Departmental Store,45.89,Snacks,367.12,9,Discount,1180.91
161,11/06/2023,1,2,299,4,Super Shop,33.84,Snacks,135.36,15,Bundle Offer,2123.74
162,28/02/2023,11,3,349,1,Departmental Store,18.25,Snacks,18.25,,No Promotion,0
163,04/06/2024,25,2,42,1,Online,29.11,Dairy,29.11,,No Promotion,0
164,24/03/2023,25,1,259,4,Online,29.11,Dairy,116.44,,No Promotion,0
165,10/07/2023,18,4,385,2,Super Shop,30.09,Beverages,60.18,,No Promotion,0
166,12/03/2023,23,4,492,4,Super Shop,26.43,Personal Care,105.72,,No Promotion,0
167,01/09/2024,10,2,439,5,Online,51.38,Snacks,256.9,,No Promotion,0
168,11/03/2023,3,4,271,4,Online,46.14,Dairy,184.56,,No Promotion,0
169,22/11/2024,7,1,47,1,Super Shop,11,Snacks,11,,No Promotion,0
170,29/08/2023,16,1,85,20,Departmental Store,15.96,Beverages,319.2,1,Bundle Offer,4878.34
171,18/02/2024,16,2,174,10,Super Shop,15.96,Beverages,159.6,1,Bundle Offer,4878.34
172,03/05/2023,25,1,58,11,Super Shop,29.11,Dairy,320.21,5,Bundle Offer,3391.6
173,06/08/2024,20,3,479,4,Super Shop,22.73,Dairy,90.92,,No Promotion,0
174,10/09/2023,17,1,199,5,Super Shop,26.62,Personal Care,133.1,3,Discount,4758
175,15/08/2024,2,2,209,4,Super Shop,51.58,Snacks,206.32,,No Promotion,0
176,31/08/2024,1,3,248,5,Super Shop,33.84,Snacks,169.2,,No Promotion,0
177,10/02/2023,16,3,211,5,Super Shop,15.96,Beverages,79.8,,No Promotion,0
178,26/09/2024,12,4,39,3,Departmental Store,53.91,Snacks,161.73,,No Promotion,0
179,25/03/2023,5,1,252,1,Super Shop,13.67,Beverages,13.67,,No Promotion,0
180,05/03/2024,5,2,131,2,Online,13.67,Beverages,27.34,,No Promotion,0
181,04/11/2024,23,4,414,6,Super Shop,26.43,Personal Care,158.58,,No Promotion,0
182,20/08/2024,9,4,291,10,Departmental Store,46.33,Personal Care,463.3,17,Buy One Get One Free,1563.7
183,01/08/2024,9,1,250,17,Online,46.33,Personal Care,787.61,17,Buy One Get One Free,1563.7
184,19/06/2024,3,1,441,5,Super Shop,46.14,Dairy,230.7,,No Promotion,0
185,20/11/2023,19,2,413,10,Super Shop,38.17,Personal Care,381.7,4,Bundle Offer,4579.31
186,25/09/2023,16,4,434,1,Online,15.96,Beverages,15.96,1,Bundle Offer,4878.34
187,29/07/2023,16,2,446,3,Super Shop,15.96,Beverages,47.88,,No Promotion,0
188,16/11/2024,3,4,52,4,Departmental Store,46.14,Dairy,184.56,,No Promotion,0
189,18/11/2023,20,4,374,18,Super Shop,22.73,Dairy,409.14,2,Bundle Offer,4100.53
190,02/09/2023,24,4,14,4,Departmental Store,30.14,Dairy,120.56,19,Discount,1298.2
191,29/09/2023,22,1,419,4,Super Shop,16.64,Beverages,66.56,1,Bundle Offer,4878.34
192,10/02/2024,24,4,156,1,Online,30.14,Dairy,30.14,2,Bundle Offer,4100.53
193,15/05/2023,1,4,442,9,Departmental Store,33.84,Snacks,304.56,15,Bundle Offer,2123.74
194,18/11/2024,24,4,30,1,Super Shop,30.14,Dairy,30.14,,No Promotion,0
195,22/10/2024,20,3,90,1,Super Shop,22.73,Dairy,22.73,,No Promotion,0
196,04/11/2023,11,1,391,4,Online,18.25,Snacks,73,10,Buy One Get One Free,2301.32
197,13/04/2024,17,3,167,9,Online,26.62,Personal Care,239.58,8,Buy One Get One Free,1783.93
198,20/11/2023,8,1,351,5,Departmental Store,45.89,Snacks,229.45,10,Buy One Get One Free,2301.32
199,16/03/2023,4,2,69,5,Departmental Store,41.23,Beverages,206.15,,No Promotion,0
200,10/01/2023,6,3,163,1,Departmental Store,21.53,Beverages,21.53,,No Promotion,0
201,14/04/2024,8,2,242,12,Super Shop,45.89,Snacks,550.68,9,Discount,1180.91
202,28/09/2024,20,4,495,2,Super Shop,22.73,Dairy,45.46,,No Promotion,0
203,30/07/2024,3,2,383,5,Departmental Store,46.14,Dairy,230.7,,No Promotion,0
204,13/04/2023,16,2,52,2,Super Shop,15.96,Beverages,31.92,,No Promotion,0
205,17/03/2023,25,2,142,2,Online,29.11,Dairy,58.22,,No Promotion,0
206,04/07/2024,3,2,63,5,Super Shop,46.14,Dairy,230.7,,No Promotion,0
207,07/08/2023,25,1,292,5,Departmental Store,29.11,Dairy,145.55,5,Bundle Offer,3391.6
208,02/06/2024,18,3,91,3,Super Shop,30.09,Beverages,90.27,,No Promotion,0
209,29/09/2023,14,1,152,2,Online,25.14,Beverages,50.28,1,Bundle Offer,4878.34
210,16/05/2023,18,1,424,5,Departmental Store,30.09,Beverages,150.45,,No Promotion,0
211,24/12/2023,2,1,157,4,Departmental Store,51.58,Snacks,206.32,11,Buy One Get One Free,2554.71
212,12/03/2023,22,2,309,3,Departmental Store,16.64,Beverages,49.92,,No Promotion,0
213,08/09/2023,3,1,365,20,Departmental Store,46.14,Dairy,922.8,19,Discount,1298.2
214,14/01/2024,16,3,150,9,Super Shop,15.96,Beverages,143.64,1,Bundle Offer,4878.34
215,19/10/2023,9,1,328,4,Online,46.33,Personal Care,185.32,4,Bundle Offer,4579.31
216,11/06/2023,4,4,271,1,Super Shop,41.23,Beverages,41.23,,No Promotion,0
217,24/03/2024,1,2,369,7,Super Shop,33.84,Snacks,236.88,9,Discount,1180.91
218,10/07/2024,4,4,69,2,Departmental Store,41.23,Beverages,82.46,,No Promotion,0
219,21/12/2024,1,3,116,5,Online,33.84,Snacks,169.2,,No Promotion,0
220,06/11/2023,14,3,192,11,Super Shop,25.14,Beverages,276.54,1,Bundle Offer,4878.34
221,18/09/2024,21,3,4,3,Online,42.81,Snacks,128.43,,No Promotion,0
222,31/10/2024,16,3,75,4,Online,15.96,Beverages,63.84,,No Promotion,0
223,25/06/2024,20,1,402,1,Online,22.73,Dairy,22.73,,No Promotion,0
224,09/01/2023,24,2,298,5,Online,30.14,Dairy,150.7,,No Promotion,0
225,14/11/2024,8,3,241,4,Super Shop,45.89,Snacks,183.56,,No Promotion,0
226,21/07/2024,7,4,30,1,Online,11,Snacks,11,,No Promotion,0
227,03/11/2023,3,3,143,2,Super Shop,46.14,Dairy,92.28,2,Bundle Offer,4100.53
228,10/11/2024,17,2,326,1,Online,26.62,Personal Care,26.62,,No Promotion,0
229,17/04/2023,1,4,183,1,Online,33.84,Snacks,33.84,15,Bundle Offer,2123.74
230,18/05/2023,16,4,437,2,Super Shop,15.96,Beverages,31.92,,No Promotion,0
231,28/09/2023,12,4,16,8,Departmental Store,53.91,Snacks,431.28,10,Buy One Get One Free,2301.32
232,29/04/2023,19,1,111,18,Super Shop,38.17,Personal Care,687.06,3,Discount,4758
233,20/04/2023,22,3,360,1,Online,16.64,Beverages,16.64,,No Promotion,0
234,20/07/2024,23,1,201,7,Super Shop,26.43,Personal Care,185.01,17,Buy One Get One Free,1563.7
235,09/06/2023,22,4,107,1,Online,16.64,Beverages,16.64,,No Promotion,0
236,06/10/2023,14,1,379,19,Super Shop,25.14,Beverages,477.66,1,Bundle Offer,4878.34
237,16/10/2023,6,1,162,3,Super Shop,21.53,Beverages,64.59,1,Bundle Offer,4878.34
238,11/09/2024,6,1,283,4,Super Shop,21.53,Beverages,86.12,,No Promotion,0
239,04/08/2023,13,3,269,8,Departmental Store,44.83,Beverages,358.64,7,Bundle Offer,1353.97
240,18/12/2023,19,4,484,12,Super Shop,38.17,Personal Care,458.04,4,Bundle Offer,4579.31
241,28/07/2023,22,4,155,2,Super Shop,16.64,Beverages,33.28,,No Promotion,0
242,04/12/2024,8,3,73,5,Departmental Store,45.89,Snacks,229.45,,No Promotion,0
243,11/10/2024,2,1,197,6,Departmental Store,51.58,Snacks,309.48,,No Promotion,0
244,28/09/2023,21,1,243,2,Online,42.81,Snacks,85.62,10,Buy One Get One Free,2301.32
245,01/06/2024,1,2,86,6,Online,33.84,Snacks,203.04,9,Discount,1180.91
246,15/05/2024,15,2,287,1,Super Shop,20.34,Snacks,20.34,9,Discount,1180.91
247,15/09/2023,1,2,259,9,Online,33.84,Snacks,304.56,10,Buy One Get One Free,2301.32
248,22/02/2023,5,3,286,2,Super Shop,13.67,Beverages,27.34,,No Promotion,0
249,05/04/2023,16,4,149,1,Departmental Store,15.96,Beverages,15.96,,No Promotion,0
250,11/10/2024,19,2,355,9,Departmental Store,38.17,Personal Care,343.53,17,Buy One Get One Free,1563.7
251,09/03/2024,4,4,390,3,Super Shop,41.23,Beverages,123.69,,No Promotion,0
252,11/10/2023,3,4,476,15,Online,46.14,Dairy,692.1,19,Discount,1298.2
253,15/02/2023,17,4,416,1,Online,26.62,Personal Care,26.62,,No Promotion,0
254,04/01/2023,17,3,426,4,Online,26.62,Personal Care,106.48,,No Promotion,0
255,08/12/2023,12,3,485,10,Super Shop,53.91,Snacks,539.1,10,Buy One Get One Free,2301.32
256,14/05/2023,14,3,190,4,Online,25.14,Beverages,100.56,,No Promotion,0
257,14/10/2024,21,3,217,3,Departmental Store,42.81,Snacks,128.43,,No Promotion,0
258,26/09/2023,6,2,416,7,Departmental Store,21.53,Beverages,150.71,1,Bundle Offer,4878.34
259,15/06/2023,3,1,355,6,Departmental Store,46.14,Dairy,276.84,5,Bundle Offer,3391.6
260,28/03/2024,9,1,86,4,Departmental Store,46.33,Personal Care,185.32,,No Promotion,0
261,18/07/2024,5,1,216,2,Departmental Store,13.67,Beverages,27.34,,No Promotion,0
262,23/12/2024,24,2,423,5,Departmental Store,30.14,Dairy,150.7,,No Promotion,0
263,13/03/2024,17,1,320,5,Departmental Store,26.62,Personal Care,133.1,,No Promotion,0
264,28/07/2024,14,2,118,1,Departmental Store,25.14,Beverages,25.14,,No Promotion,0
265,10/01/2023,21,2,414,4,Departmental Store,42.81,Snacks,171.24,,No Promotion,0
266,25/04/2023,3,2,447,9,Super Shop,46.14,Dairy,415.26,5,Bundle Offer,3391.6
267,19/03/2023,1,1,370,19,Super Shop,33.84,Snacks,642.96,15,Bundle Offer,2123.74
268,08/12/2024,20,4,480,1,Departmental Store,22.73,Dairy,22.73,,No Promotion,0
269,02/06/2023,21,1,415,6,Departmental Store,42.81,Snacks,256.86,15,Bundle Offer,2123.74
270,12/07/2024,23,1,87,11,Departmental Store,26.43,Personal Care,290.73,17,Buy One Get One Free,1563.7
271,06/02/2023,1,3,40,3,Online,33.84,Snacks,101.52,,No Promotion,0
272,14/01/2024,3,2,161,13,Super Shop,46.14,Dairy,599.82,2,Bundle Offer,4100.53
273,19/08/2024,18,4,191,4,Departmental Store,30.09,Beverages,120.36,,No Promotion,0
274,19/07/2024,25,3,25,4,Super Shop,29.11,Dairy,116.44,,No Promotion,0
275,01/06/2023,10,4,420,2,Departmental Store,51.38,Snacks,102.76,15,Bundle Offer,2123.74
276,16/03/2024,22,4,152,1,Online,16.64,Beverages,16.64,,No Promotion,0
277,11/05/2023,3,2,95,5,Departmental Store,46.14,Dairy,230.7,5,Bundle Offer,3391.6
278,12/02/2023,8,1,442,1,Super Shop,45.89,Snacks,45.89,,No Promotion,0
279,12/11/2023,14,2,423,2,Super Shop,25.14,Beverages,50.28,1,Bundle Offer,4878.34
280,09/01/2024,24,2,46,15,Super Shop,30.14,Dairy,452.1,2,Bundle Offer,4100.53
281,10/02/2023,18,3,461,1,Super Shop,30.09,Beverages,30.09,,No Promotion,0
282,02/01/2024,15,2,138,16,Departmental Store,20.34,Snacks,325.44,11,Buy One Get One Free,2554.71
283,04/08/2023,22,1,471,4,Online,16.64,Beverages,66.56,7,Bundle Offer,1353.97
284,29/11/2024,23,4,466,4,Online,26.43,Personal Care,105.72,,No Promotion,0
285,13/09/2023,2,2,288,13,Departmental Store,51.58,Snacks,670.54,10,Buy One Get One Free,2301.32
286,13/11/2024,10,4,353,7,Departmental Store,51.38,Snacks,359.66,,No Promotion,0
287,16/04/2023,2,2,164,6,Super Shop,51.58,Snacks,309.48,15,Bundle Offer,2123.74
288,29/12/2023,17,4,412,2,Departmental Store,26.62,Personal Care,53.24,4,Bundle Offer,4579.31
289,27/07/2024,8,2,400,1,Online,45.89,Snacks,45.89,,No Promotion,0
290,21/02/2024,1,3,16,9,Departmental Store,33.84,Snacks,304.56,9,Discount,1180.91
291,27/09/2024,9,4,18,17,Departmental Store,46.33,Personal Care,787.61,17,Buy One Get One Free,1563.7
292,08/06/2023,11,2,136,21,Online,18.25,Snacks,383.25,15,Bundle Offer,2123.74
293,31/08/2023,22,2,490,13,Online,16.64,Beverages,216.32,1,Bundle Offer,4878.34
294,16/06/2023,16,3,464,2,Departmental Store,15.96,Beverages,31.92,,No Promotion,0
